timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1613685932663,303,HTTP Request - GET List User,200,OK,FinalProjectUsingJMeter 1-2,text,true,,2007,163,3,3,https://reqres.in/api/users?page=2,298,0,222
1613685932427,538,HTTP Request - GET List User,200,OK,FinalProjectUsingJMeter 1-1,text,true,,2007,163,3,3,https://reqres.in/api/users?page=2,533,0,457
1613685932969,110,HTTP Request - POST Create User,201,Created,FinalProjectUsingJMeter 1-1,text,true,,1004,229,3,3,https://reqres.in/api/users,110,0,0
1613685932970,112,HTTP Request - POST Create User,201,Created,FinalProjectUsingJMeter 1-2,text,true,,1004,229,3,3,https://reqres.in/api/users,112,0,0
1613685932963,189,HTTP Request - GET List User,200,OK,FinalProjectUsingJMeter 1-3,text,true,,2005,163,3,3,https://reqres.in/api/users?page=2,189,0,133
1613685933083,94,HTTP Request - POST Regiser User,200,OK,FinalProjectUsingJMeter 1-2,text,true,,953,246,3,3,https://reqres.in/api/register,94,0,0
1613685933080,102,HTTP Request - POST Regiser User,200,OK,FinalProjectUsingJMeter 1-1,text,true,,949,246,3,3,https://reqres.in/api/register,102,0,0
1613685933152,107,HTTP Request - POST Create User,201,Created,FinalProjectUsingJMeter 1-3,text,true,,1006,229,3,3,https://reqres.in/api/users,107,0,0
1613685933183,96,HTTP Request - PUT Update User,200,OK,FinalProjectUsingJMeter 1-1,text,true,,1001,235,4,4,https://reqres.in/api/users/2,96,0,0
1613685933178,109,HTTP Request - PUT Update User,200,OK,FinalProjectUsingJMeter 1-2,text,true,,993,235,4,4,https://reqres.in/api/users/2,109,0,0
1613685933261,115,HTTP Request - POST Regiser User,200,OK,FinalProjectUsingJMeter 1-3,text,true,,951,246,4,4,https://reqres.in/api/register,115,0,0
1613685933280,103,HTTP Request - PATCH Update User,200,OK,FinalProjectUsingJMeter 1-1,text,true,,1001,237,4,4,https://reqres.in/api/users/2,103,0,0
1613685933288,97,HTTP Request - PATCH Update User,200,OK,FinalProjectUsingJMeter 1-2,text,true,,993,237,4,4,https://reqres.in/api/users/2,97,0,0
1613685933264,174,HTTP Request - GET List User,200,OK,FinalProjectUsingJMeter 1-4,text,true,,2003,163,4,4,https://reqres.in/api/users?page=2,174,0,118
1613685933385,68,HTTP Request - DELETE User,204,No Content,FinalProjectUsingJMeter 1-2,,true,,876,180,4,4,https://reqres.in/api/users/2,0,0,0
1613685933384,70,HTTP Request - DELETE User,204,No Content,FinalProjectUsingJMeter 1-1,,true,,874,180,4,4,https://reqres.in/api/users/2,0,0,0
1613685933377,108,HTTP Request - PUT Update User,200,OK,FinalProjectUsingJMeter 1-3,text,true,,995,235,2,2,https://reqres.in/api/users/2,108,0,0
1613685933439,111,HTTP Request - POST Create User,201,Created,FinalProjectUsingJMeter 1-4,text,true,,1003,228,2,2,https://reqres.in/api/users,111,0,0
1613685933485,93,HTTP Request - PATCH Update User,200,OK,FinalProjectUsingJMeter 1-3,text,true,,997,237,3,3,https://reqres.in/api/users/2,93,0,0
1613685933551,101,HTTP Request - POST Regiser User,200,OK,FinalProjectUsingJMeter 1-4,text,true,,953,246,3,3,https://reqres.in/api/register,101,0,0
1613685933579,97,HTTP Request - DELETE User,204,No Content,FinalProjectUsingJMeter 1-3,,true,,872,180,3,3,https://reqres.in/api/users/2,0,0,0
1613685933562,177,HTTP Request - GET List User,200,OK,FinalProjectUsingJMeter 1-5,text,true,,2007,163,2,2,https://reqres.in/api/users?page=2,177,0,112
1613685933653,103,HTTP Request - PUT Update User,200,OK,FinalProjectUsingJMeter 1-4,text,true,,999,235,2,2,https://reqres.in/api/users/2,103,0,0
1613685933756,77,HTTP Request - PATCH Update User,200,OK,FinalProjectUsingJMeter 1-4,text,true,,995,237,2,2,https://reqres.in/api/users/2,77,0,0
1613685933739,112,HTTP Request - POST Create User,201,Created,FinalProjectUsingJMeter 1-5,text,true,,1010,229,2,2,https://reqres.in/api/users,112,0,0
